Year,Submission,Acceptance,Acceptance rate,Place
2001,352,170,48%,San Francisco
2002,322,160,50%,New York
2003,417,194,47%,Chicago
2004,460,230,50%,Seattle
2005,549,253,46%,Washington DC
2006,446,205,46%,Seattle
2007,577,266,46%,London
2008,451,200,44%,Atlanta
2009,531,220,41%,Montreal
2010,373,169,45%,Portland
2011,686,261,38%,Dublin
2012,467,172,37%,Philadelphia
2013,570,204,36%,Amsterdam
2014,544,180,33%,Vancouver
2015,505,182,36%,Madrid
2016,381,138,36%,Denver
2017,464,181,39%,Berlin
2018,514,195,38%,Kyoto
2019,501,173,35%,Prague
2020,415,149,36%,Cancún (online)
2021,362,134,37%,Lille (online)
2022,426,158,37%,Boston/online
2023,519,180,35%,Lisbon/online
2024,495,178,36%,Melbourne/online
